global_round,train_loss,train_mae,train_mape,train_r2,train_mse,dev_loss,dev_mae,dev_mape,dev_r2,dev_mse,test_loss,test_mae,test_mape,test_r2,test_mse
81,69712604.68571429,4244.547529658872,10.183308772994524,0.529129603379201,69712604.53005059,104724535.57894737,4617.67386914074,4.307871221765602,0.3229713537397322,104724535.77404346,124576433.94475974,4102.981591168742,2.8269400904523203,-0.03235729136514487,124576448.26251945
82,70426265.02857143,4259.3843389493495,10.18001341329435,0.5243092215101852,70426264.54633135,104957548.84210527,4627.077404895797,4.382564856384422,0.3214649769169754,104957546.02307114,124424884.04590742,4081.7836901130345,2.8098556515097104,-0.031101333940739107,124424889.57599677
83,70560936.98285714,4271.250466109285,10.48327258006856,0.5233995848225808,70560936.72603106,105474185.89473684,4636.015311851215,4.415561912734158,0.3181249909717485,105474183.65655653,124766640.09332828,4121.957655411257,2.8401546437550063,-0.03393340467650274,124766640.74726337
84,72803361.46285714,4275.485128306944,10.124328847609155,0.5082532371911472,72803361.2871893,105198986.10526316,4615.178466064267,4.3120446776548516,0.3199041075922403,105198985.31273746,124367491.11312902,4062.3969809697787,2.7801682815387183,-0.030625561970046622,124367477.29946473
85,70171894.42285714,4264.34401669871,10.050895039047163,0.52602735649476,70171893.7777112,104682632.0,4625.278628858982,4.364577118444331,0.32324226252639876,104682630.90476285,124889365.40093328,4119.5097242728925,2.83477786720774,-0.03495035820421921,124889358.39510739
86,70489793.05142857,4275.573849259386,10.292555236849587,0.5238801191737075,70489793.36806335,105423459.78947368,4642.404058828068,4.385525338109042,0.31845290171295526,105423461.5780479,124678102.76503973,4140.25306821552,2.869588730058911,-0.033199741580729025,124678108.275553
87,68324827.49714285,4233.942318283772,10.201450278999468,0.5385032785091054,68324827.10336637,103608141.4736842,4603.880839468519,4.290677173363508,0.3301886685343778,103608142.92186593,124380815.61962417,4099.493470154309,2.8201112630383074,-0.030736130712843757,124380819.83250222
88,70930025.21142857,4274.923490181933,10.053642285648845,0.5209065902204537,70930025.85977332,106294085.89473684,4636.591851116697,4.386825697708429,0.31282444191173864,106294086.24520369,124415077.47156009,4135.647415367047,2.858008029844834,-0.031020050594436244,124415080.96547985
89,70358870.85714285,4266.476210920752,9.986058035808869,0.5247644300066433,70358870.69418003,104938766.73684211,4625.496162133683,4.362545591391269,0.32158638644198423,104938766.0848583,124683168.66641442,4137.563170409109,2.857726477754921,-0.03324178160414615,124683181.32230338
90,67720614.06857143,4223.248240541331,10.026948333290248,0.5425844066412904,67720613.98324408,103136550.5263158,4594.8762752459825,4.316337713112985,0.33323745356159495,103136548.99683218,125146669.00491865,4116.115093968739,2.8275967868438125,-0.03708273421218844,125146676.11994445
91,70048124.27428572,4247.416975162652,10.39880450370887,0.5268633487967855,70048124.68719392,104187125.4736842,4604.830034163339,4.272166145043918,0.3264456202589099,104187127.2753249,124809887.2331946,4099.946562023358,2.813541396849441,-0.03429175506257409,124809883.54576315
92,68298190.51428571,4236.970398699497,10.326414290077564,0.5386831955422626,68298190.29402198,103668354.94736843,4610.5732426720815,4.3780905544443405,0.3297994055404191,103668355.12494111,124983656.81674865,4114.055976774341,2.832976156833297,-0.03573189812110833,124983668.25065431
93,67037830.96,4224.108509714545,10.558787457835214,0.5471962311321019,67037830.99413027,102737871.57894737,4609.814336307641,4.365871844697042,0.3358148443241279,102737871.5514899,125282914.51330559,4122.119221420182,2.8431844950396545,-0.03821182456076988,125282925.52368312
94,70877084.43428572,4291.70993470697,10.281510167381926,0.5212641825865674,70877084.12595281,104710322.10526316,4638.409878261681,4.3954200556581124,0.3230632418390892,104710322.2860301,124770165.82519864,4143.977907536565,2.8807094655812273,-0.03396260643665827,124770164.5772335
