global_round,train_loss,train_r2,train_mse,train_mape,train_mae,dev_loss,dev_r2,dev_mse,dev_mape,dev_mae,test_loss,test_r2,test_mse,test_mape,test_mae
100,106679527.28421053,0.20413477360619325,106679525.64488803,2.6358748620926407,4192.302221779823,99077337.53846154,0.14778733891426565,99077337.46998906,3.8484603064077625,4823.086203116637,123377817.12044394,-0.02242419164854903,123377802.89692646,1.3011643367566843,3053.046918168767
101,106703353.02736843,0.20395700618486945,106703353.98108494,2.6600486977411886,4199.83461795443,98967896.71794872,0.14872870215447032,98967895.58102114,3.862379090019288,4822.52869010583,123511415.33333333,-0.023531435122203348,123511415.99818847,1.318570547025887,3065.7184669512912
102,106100843.71368422,0.20845192793385714,106100844.78217742,2.7408822157506885,4212.039655383261,98794686.46153846,0.1502185533850774,98794687.06172165,3.980126613128332,4846.277664707257,123535706.26686846,-0.023732724574985653,123535705.96573173,1.3303547618935152,3069.146306642534
103,105649801.9368421,0.2118168704918837,105649800.47969027,2.7763793009228843,4212.733256380934,98782025.23076923,0.15032747193603935,98782024.30684465,3.955388614707084,4848.294086324863,123573816.00958507,-0.024048593668038576,123573822.4686688,1.3430886140933376,3074.5721471071815
104,105032345.24631579,0.21642328320624382,105032346.78653271,2.8387069925748674,4203.287704717234,98374925.94871795,0.15382913084358085,98374925.16700639,4.0865385199016515,4859.295613829906,123965547.33358558,-0.027294788661790692,123965546.7738795,1.391148436373088,3123.1031782496907
105,103840992.51789473,0.22531119325005466,103840991.77314126,2.9668747461390916,4214.015200824487,97715823.28205128,0.1594983921994919,97715822.87222287,4.229339824784577,4850.757428132571,123906414.48581158,-0.026804803572624047,123906419.37426648,1.3735407778124484,3088.88364780949
106,103645478.59368421,0.22676979053499646,103645478.18452832,2.9177215572961646,4200.639035065299,97518068.51282051,0.16119935122634543,97518071.18508942,4.161270338390175,4847.653912620667,123940476.3049565,-0.027086949290816342,123940466.41569182,1.4062881963621596,3129.545690125874
107,103355150.58947368,0.22893575088454454,103355148.0947185,3.0488076036251073,4222.943136942512,97446024.0,0.16181907530003636,97446022.72348933,4.322980626193288,4878.844926534555,124009737.56337495,-0.027661036726941424,124009742.5998025,1.4361737273591915,3133.6308413815987
108,102756425.6631579,0.2334024227712841,102756425.56948915,3.108194867629695,4224.04557259271,97433187.8974359,0.16192946632303729,97433188.78057937,4.319032356389352,4886.90405523777,123983884.70248455,-0.027446714436187403,123983879.93579175,1.4580013783804642,3145.3146365845637
109,102197350.92210527,0.23757331694107997,102197349.74007393,3.2261020223014714,4232.987709150816,97162840.41025642,0.16425484913789812,97162842.24805854,4.488474325431796,4892.989651319308,124561565.37343927,-0.032233858875326815,124561553.43752976,1.4934772743281586,3174.746342809463
110,101552371.45263158,0.24238507931070974,101552370.52740754,3.157775413076426,4210.591168010862,96921744.61538461,0.1663286583222071,96921743.39822407,4.447133614209558,4888.782026617955,124586436.32362215,-0.03243999778317197,124586428.59771203,1.4967340658889488,3189.6906200596086
111,100576240.16421053,0.249667347182011,100576239.32281964,3.196146107342484,4190.621251485222,96737498.46153846,0.1679134346888832,96737498.9835781,4.604882884391322,4901.530679540757,125492531.74675243,-0.039948896311191584,125492541.15855555,1.5549683587355074,3249.490067411633
112,99435097.73473684,0.2581806433617606,99435098.37582123,3.3023122195459598,4195.048717368528,96514071.6923077,0.16983524259559746,96514071.64059138,4.720659504997519,4919.677924125623,125650129.15727077,-0.04125489795503312,125650138.77284628,1.5834609960584278,3278.116778312738
113,99324132.28210527,0.259008495600649,99324131.24065836,3.4209595795114813,4226.6838957264545,96549005.84615384,0.1695347495581222,96549006.64149056,4.783221717970358,4941.960866451263,125787835.9798209,-0.0423959383791479,125787830.21412261,1.598918373920858,3273.295879216314
114,100143758.87578948,0.25289381009991463,100143757.13591419,3.3967102030425416,4246.503545867393,96228047.79487179,0.17229547311939908,96228047.85686806,4.754379608922357,4933.236439221944,124856737.71169126,-0.03468003236676487,124856737.68037488,1.5716525426641663,3228.453543062724
115,99491375.30526316,0.25776079539862917,99491375.72035705,3.419005307500706,4234.558226505581,96435108.0,0.17051445767749251,96435106.81765871,4.7605100059295955,4942.143572782858,124971244.06457308,-0.035628907623320716,124971240.19834481,1.594304273114056,3254.7413637909617
116,98713652.77473684,0.2635628841910884,98713650.97551085,3.567599507252306,4260.370321453998,96060173.84615384,0.17373944228902438,96060173.53717308,4.90710381123868,4965.391284325184,125470730.54105183,-0.03976813197636342,125470727.99465021,1.6670247154482318,3316.220947026996
117,98705053.18736842,0.26362704132013837,98705051.2128038,3.5658574442607702,4260.806532569747,95909887.07692307,0.17503212006979552,95909888.19341597,4.8809554860383235,4959.055811136197,125571280.12813722,-0.04060149440752725,125571291.36806574,1.655150766183919,3305.61895119971
118,97449989.4736842,0.2729902306931048,97449988.7126399,3.69447084380632,4257.582993136456,96180610.66666667,0.1727034935451387,96180611.83618733,5.158855548057909,5006.78291161855,126961388.51507126,-0.05212108845787178,126961381.91541909,1.7127398209209475,3375.1133558485244
