global_round,train_loss,train_mape,train_r2,train_mae,train_mse,dev_loss,dev_mape,dev_r2,dev_mae,dev_mse,test_loss,test_mape,test_r2,test_mae,test_mse
134,107502381.78571428,1.641720475499325,0.14475123012020497,2802.931004194986,107502381.5390413,167897160.9473684,1.4471923497176196,0.004750574457650147,2758.5998749983937,167897174.2696786,119656407.28793038,1.4286223610122932,0.008414780946852662,2762.042952492433,119656407.49812993
135,107825683.78571428,1.667435625711706,0.14217914364404882,2823.2936804748715,107825685.62488057,167916476.63157895,1.4699189471549308,0.004636177325004653,2776.304560711509,167916472.90459642,119766987.41909446,1.4522201046952479,0.007498397792434108,2780.8815404377424,119766989.13452649
136,112339503.40476191,1.7062538587899232,0.10626893733956833,2857.172751327356,112339498.2548976,167883765.78947368,1.5067598057442557,0.004829993876434124,2803.1696293730483,167883776.3257524,119649303.15600958,1.4876178527014225,0.008473655618126963,2806.2164484919626,119649302.9835386
137,110440239.07142857,1.7233468762304323,0.1213786923544189,2861.910501639048,110440244.25328563,167872520.52631578,1.5207064516334967,0.004896773765028173,2812.4595127105713,167872510.652741,119595128.80615462,1.502140246959915,0.008922550413491992,2815.7346588300265,119595134.0250609
138,105652473.0,1.684168743362705,0.15946839593053996,2825.988261211486,105652474.9038779,167917983.47368422,1.4856219621771405,0.004627214032135951,2786.238649681995,167917984.99946046,119653384.21894312,1.466685344551157,0.008439980255760426,2789.3703195141547,119653366.65129459
139,112634225.07142857,1.745790599763298,0.10392420649150413,2878.662620306015,112634224.37332322,167867123.0526316,1.5376824169610253,0.004928745145008184,2825.079362580651,167867117.12603462,119619417.15121706,1.5186802417077379,0.008721401182417154,2828.3283041103564,119619407.0717935
140,111533836.78571428,1.7757357695326978,0.11267848917200485,2893.6080684775397,111533835.49237564,167738556.10526314,1.5675115298751263,0.005690852928258994,2845.871314977345,167738550.61796856,119536367.9601463,1.5476346026197099,0.009409431245057887,2849.1091138320367,119536381.22190748
141,110570393.66666667,1.7948102155650356,0.12034327918249699,2909.426624859018,110570392.79693586,167915479.89473686,1.580918753201775,0.0046419861023316855,2858.260592967272,167915492.97205475,119623371.90087022,1.5590239134268442,0.008688489886602313,2859.9077116338044,119623378.53823696
142,109530183.38095239,1.7664210502174837,0.12861880560681083,2886.084426368986,109530182.24015477,167789536.0,1.5573472794929968,0.005388590861806319,2838.8978749576368,167789541.80223238,119617745.2500946,1.5380222546463982,0.00873516555499354,2842.7870853889303,119617746.09970324
143,107599737.59523809,1.7861520585545485,0.14397669966940607,2894.50035392493,107599737.85332993,167801354.31578946,1.5740774706366703,0.005318557305602156,2851.803573128424,167801356.3643803,119528092.17934166,1.5521032049702292,0.00947799480778777,2853.727259727937,119528107.53100942
144,106919017.78571428,1.789128880483398,0.14939221744368847,2899.887605495396,106919022.39543551,167902971.78947368,1.582962346003333,0.004716263780287444,2858.672776761808,167902962.43255377,119635497.28389457,1.561752681161494,0.008588022106366111,2861.3525095956597,119635502.16959147
145,110602124.26190476,1.8147694260647749,0.12009083673947696,2923.457329327152,110602124.10691482,167810730.10526314,1.603996999956621,0.005263023145829937,2874.0898203849792,167810724.89880183,119584456.40459074,1.5823026541197966,0.009011076727280964,2876.1526823877343,119584451.39236982
146,105754186.97619048,1.8562143777217717,0.15865922796133158,2939.9277112866266,105754185.05748294,167796057.2631579,1.6415070374834866,0.005350041232325298,2902.337901303643,167796045.07035083,119558962.10720141,1.6196176087537568,0.009222354143338829,2903.8575934569944,119558956.15897465
147,112349563.16666667,1.8113391786576212,0.10618887420054723,2919.6722520618214,112349561.96784449,167802838.84210527,1.5977818161657347,0.005309765075683148,2868.257937770141,167802839.601166,119553379.86303443,1.5761819968830624,0.009268538304398333,2869.515903287674,119553383.03153233
148,107979622.57142857,1.84236871737227,0.14095445436375675,2936.319117988859,107979625.64667706,167834521.68421054,1.6243376874096591,0.0051219777459787785,2890.012394321592,167834519.05880937,119582456.3854206,1.6019246635531728,0.009027592853173783,2890.78757229229,119582458.36115865
149,109997887.11904761,1.8668056184342297,0.12489791509096826,2955.101450142406,109997887.78500497,167722531.57894737,1.6477185484038905,0.005785891332298343,2907.1344153881073,167722517.77326068,119533384.73250094,1.6256607204365547,0.00943427830411736,2908.04741380903,119533382.88170753
150,108813146.76190476,1.8631898231947193,0.13432329546620725,2952.487397080376,108813143.79830278,167777956.52631578,1.64730863447111,0.00545726010638703,2906.9945814609528,167777957.39753097,119537147.92256275,1.6245474994580604,0.009403098514790154,2907.852046963185,119537145.4040866
151,109884264.23809524,1.8432765307403318,0.1258018396072682,2934.0741980075836,109884266.9980994,167556639.15789473,1.621001682767966,0.006769221276077597,2885.2368567868284,167556631.3987518,119402599.06394249,1.5992176289107582,0.01051816591797572,2886.8998869791176,119402588.17489469
152,108939277.95238096,1.8304452431885487,0.13331978855153093,2924.8924633888973,108939281.81453606,167585178.21052632,1.6114713758280994,0.006600056929643605,2878.717766008879,167585169.18538547,119408365.84916131,1.590935711269805,0.010470291145730615,2880.557319747919,119408365.31149028
